DateCleaned,AVERAGE of TotalHoursAsleep
04-12-2016,2.90
04-13-2016,3.04
04-14-2016,2.92
04-15-2016,3.67
04-16-2016,2.86
04-17-2016,2.90
04-18-2016,2.19
04-19-2016,2.98
04-20-2016,3.49
04-21-2016,2.94
04-22-2016,2.66
04-23-2016,3.36
04-24-2016,3.30
04-25-2016,2.48
04-26-2016,2.69
04-27-2016,3.12
04-28-2016,3.32
04-29-2016,3.02
04-30-2016,3.58
05-01-2016,3.78
05-02-2016,3.31
05-03-2016,2.74
05-04-2016,2.97
05-05-2016,2.49
05-06-2016,2.84
05-07-2016,3.03
05-08-2016,3.83
05-09-2016,2.83
05-10-2016,3.13
05-11-2016,3.35
05-12-2016,2.81
Grand Total,3.05