DateCleaned,AVERAGE of WeightKg_Cleaned
04-12-2016,4.49
04-13-2016,8.50
04-14-2016,4.43
04-15-2016,1.86
04-16-2016,4.61
04-17-2016,7.02
04-18-2016,6.77
04-19-2016,4.58
04-20-2016,4.58
04-21-2016,6.33
04-22-2016,1.92
04-23-2016,4.59
04-24-2016,4.59
04-25-2016,6.79
04-26-2016,2.66
04-27-2016,4.58
04-28-2016,4.57
04-29-2016,4.57
04-30-2016,4.73
05-01-2016,7.23
05-02-2016,6.32
05-03-2016,6.84
05-04-2016,7.51
05-05-2016,2.11
05-06-2016,5.05
05-07-2016,2.11
05-08-2016,5.43
05-09-2016,8.04
05-10-2016,2.39
05-11-2016,6.14
05-12-2016,9.68
Grand Total,5.13