DateCleaned,AVERAGE of Calories,AVERAGE of WeightKg_Cleaned,AVERAGE of TotalHoursAsleep
04-12-2016,2390.70,4.49,2.90
04-13-2016,2286.64,8.50,3.04
04-14-2016,2356.39,4.43,2.92
04-15-2016,2355.18,1.86,3.67
04-16-2016,2392.94,4.61,2.86
04-17-2016,2230.97,7.02,2.90
04-18-2016,2333.38,6.77,2.19
04-19-2016,2359.09,4.58,2.98
04-20-2016,2395.22,4.58,3.49
04-21-2016,2421.88,6.33,2.94
04-22-2016,2327.66,1.92,2.66
04-23-2016,2397.16,4.59,3.36
04-24-2016,2291.44,4.59,3.30
04-25-2016,2349.56,6.79,2.48
04-26-2016,2331.38,2.66,2.69
04-27-2016,2328.56,4.58,3.12
04-28-2016,2316.06,4.57,3.32
04-29-2016,2272.56,4.57,3.02
04-30-2016,2373.94,4.73,3.58
05-01-2016,2230.43,7.23,3.78
05-02-2016,2275.45,6.32,3.31
05-03-2016,2453.90,6.84,2.74
05-04-2016,2283.14,7.51,2.97
05-05-2016,2415.07,2.11,2.49
05-06-2016,2375.07,5.05,2.84
05-07-2016,2246.24,2.11,3.03
05-08-2016,2303.44,5.43,3.83
05-09-2016,2335.67,8.04,2.83
05-10-2016,2229.35,2.39,3.13
05-11-2016,2190.08,6.14,3.35
05-12-2016,1139.29,9.68,2.81
Grand Total,2303.61,5.13,3.05